Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,2_Star_Rating,3_Star_Rating,5_Star_Rating,Organic Search Rank,online_cost_per_impression,4_Star_Rating,average_rating,num_unique_Search_Terms,total_clicks,num_unique_campaigns,total_cost,Online_Impressions,Segment_Makeup,Online_Clicks,Online_Cost,video_cost_per_impression,Units_sold>1000
1882.0,25.4208243,110,209,9,8,145.0,81.0,229,2542,40.0,0.05764591293238994,410,4.5,10.0,1269.0,2,2933.02405,50879,True,1269.0,2933.02405,0.0,0
328.0,37.29912664,89,62,5,12,64.0,39.0,112,1658,27.0,0.0,230,4.6,4.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
2435.0,22.13068732,163,158,0,3,91.0,69.0,187,2548,19.0,0.012165049367260148,395,4.6,12.0,708.0,2,1885.108215,154960,True,708.0,1885.108215,0.0,1
2286.0,12.13538462,92,59,6,5,0.0,0.0,27,402,14.0,0.0,61,4.8,2.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
4327.0,12.93934681,151,186,10,12,128.0,86.0,265,3249,3.0,0.0,478,4.6,7.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
5126.0,24.53750738,86,65,12,8,73.0,70.0,200,2596,4.0,0.03358957542469235,399,4.6,8.0,1128.0,4,4017.850654,119615,True,1128.0,4017.850654,0.0,1
4021.0,13.82440056,77,99,0,11,60.0,34.0,94,1794,11.0,0.0,230,4.7,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
3972.0,7.316085489,114,209,7,2,0.0,0.0,0,0,19.0,0.0,0,0.0,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
3142.0,16.15785381,80,104,0,10,37.0,25.0,73,643,41.0,0.020345189254076065,146,4.4,1.0,461.0,2,1338.93725,65810,True,461.0,1338.93725,0.0,1
538.0,16.10084034,85,209,11,9,96.0,77.0,181,2256,25.0,0.0,376,4.5,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
1540.0,25.39855072,84,62,7,6,78.0,45.0,92,931,11.0,0.0,156,4.4,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
4912.0,9.816280807,90,62,2,6,41.0,16.0,65,1178,3.0,0.0,148,4.7,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
1414.0,21.89511942,117,209,12,3,71.0,47.0,116,1651,26.0,0.0,253,4.6,6.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
